,sClass,sLong,sCat,sDetail
74,c075,GestunoSmallAnimals/134_fish_-,GestunoSmallAnimals,134_fish_-
75,c076,GestunoSmallAnimals/141_mouse_souris,GestunoSmallAnimals,141_mouse_souris
76,c077,GestunoSmallAnimals/143_pigeon_pigeon,GestunoSmallAnimals,143_pigeon_pigeon
77,c078,GestunoSmallAnimals/150_worm_ver,GestunoSmallAnimals,150_worm_ver
78,c079,GestunoTopography/65_space_espace,GestunoTopography,65_space_espace
79,c080,GestunoTopography/77_city_ville,GestunoTopography,77_city_ville
80,c081,GestunoTopography/78_suburbs_banlieu,GestunoTopography,78_suburbs_banlieu
81,c082,GestunoTopography/79_village_village,GestunoTopography,79_village_village
82,c083,GestunoTopography/80_countryside_campagne,GestunoTopography,80_countryside_campagne
83,c084,GestunoTopography/86_soil_sol,GestunoTopography,86_soil_sol
84,c085,GestunoTopography/87_ground_terre,GestunoTopography,87_ground_terre
85,c086,GestunoTopography/92_harbour_port,GestunoTopography,92_harbour_port
86,c087,GestunoTopography/93_peninsula,GestunoTopography,93_peninsula
87,c088,GestunoTopography/94_island_ile,GestunoTopography,94_island_ile
88,c089,GestunoTopography/95_region_region,GestunoTopography,95_region_region
89,c090,MusicNotes/do,MusicNotes,do
90,c091,MusicNotes/do2,MusicNotes,do2
91,c092,MusicNotes/fa,MusicNotes,fa
92,c093,MusicNotes/la,MusicNotes,la
93,c094,MusicNotes/mi,MusicNotes,mi
94,c095,MusicNotes/re,MusicNotes,re
95,c096,MusicNotes/sol,MusicNotes,sol
96,c097,MusicNotes/ti,MusicNotes,ti
97,c098,CanadaAviationGroundCirculation1/Coupez,CanadaAviationGroundCirculation1,Coupez
98,c099,CanadaAviationGroundCirculation1/DemarrezMoteurs,CanadaAviationGroundCirculation1,DemarrezMoteurs
99,c100,CanadaAviationGroundCirculation1/DirigezVousVers,CanadaAviationGroundCirculation1,DirigezVousVers
100,c101,CanadaAviationGroundCirculation1/FaceMe,CanadaAviationGroundCirculation1,FaceMe
101,c102,CanadaAviationGroundCirculation1/Freins,CanadaAviationGroundCirculation1,Freins
102,c103,CanadaAviationGroundCirculation1/Incendie,CanadaAviationGroundCirculation1,Incendie
103,c104,CanadaAviationGroundCirculation1/Ralentissez,CanadaAviationGroundCirculation1,Ralentissez
104,c105,CanadaAviationGroundCirculation1/VirezADroite,CanadaAviationGroundCirculation1,VirezADroite
105,c106,CanadaAviationGroundCirculation1/VirezAGauche,CanadaAviationGroundCirculation1,VirezAGauche
106,c107,CanadaAviationGroundCirculation2/AlimentationBranchee,CanadaAviationGroundCirculation2,AlimentationBranchee
107,c108,CanadaAviationGroundCirculation2/AlimentationDeBranchee,CanadaAviationGroundCirculation2,AlimentationDeBranchee
108,c109,CanadaAviationGroundCirculation2/Avancez,CanadaAviationGroundCirculation2,Avancez
109,c110,CanadaAviationGroundCirculation2/CalesEnlevees,CanadaAviationGroundCirculation2,CalesEnlevees
110,c111,CanadaAviationGroundCirculation2/CalesMi,CanadaAviationGroundCirculation2,CalesMi
111,c112,CanadaAviationGroundCirculation2/Faites,CanadaAviationGroundCirculation2,Faites
112,c113,CanadaAviationGroundCirculation2/Fait,CanadaAviationGroundCirculation2,Fait
113,c114,CanadaAviationGroundCirculation,,CanadaAviationGroundCirculation
114,c115,CanadaAviationGroundCirculation2/Ralentiss,CanadaAviationGroundCirculation2,Ralentiss
115,c116,CanadaAviationGroundCirculation2/Recul,CanadaAviationGroundCirculation2,Recul
116,c117,CraneHandSignals/BoomUp,CraneHandSignals,BoomUp
117,c118,CraneHandSignals/EmergencySto,CraneHandSignals,EmergencySto
118,c119,CraneHandSignals/EverythingSlow,CraneHandSignals,EverythingSlow
119,c120,CraneHandSignals/LowerBoom,CraneHandSignals,LowerBoom
120,c122,CraneHandSignals/RaiseLoadSlowly,CraneHandSignals,RaiseLoadSlowly
121,c124,CraneHandSignals/RoutineStop,CraneHandSignals,RoutineStop
122,c121,CraneHandSignals/LowerLoadSlowly,CraneHandSignals,LowerLoadSlowly
123,c123,CraneHandSignals/RetractBoom,CraneHandSignals,RetractBoom
124,c125,CraneHandSignals/SwingBoom,CraneHandSignals,SwingBoom
125,c126,CraneHandSignals/TrolleyOut,CraneHandSignals,TrolleyOut
126,c127,CraneHandSignals/WalkCraneForward,CraneHandSignals,WalkCraneForward
127,c128,DivingSignals1/Around,DivingSignals1,Around
128,c130,DivingSignals1/Danger,DivingSignals1,Danger
129,c131,DivingSignals1/DontKnow,DivingSignals1,DontKnow
130,c129,DivingSignals1/ComeHere,DivingSignals1,ComeHere
131,c132,DivingSignals1/OKsurface,DivingSignals1,OKsurface
132,c133,DivingSignals1/Over,DivingSignals1,Over
133,c134,DivingSignals1/Under,DivingSignals1,Under
134,c135,DivingSignals1/Watch,DivingSignals1,Watch
135,c136,DivingSignals2/CannotOpenReserve,DivingSignals2,CannotOpenReserve
136,c137,DivingSignals2/Cold,DivingSignals2,Cold
137,c138,DivingSignals2/Help,DivingSignals2,Help
138,c139,DivingSignals2/Me,DivingSignals2,Me
139,c140,DivingSignals2/Meet,DivingSignals2,Meet
140,c141,DivingSignals2/OutOfAir,DivingSignals2,OutOfAir
141,c142,DivingSignals2/PressureBalancePb,DivingSignals2,PressureBalancePb
142,c143,DivingSignals2/ReserveOpened,DivingSignals2,ReserveOpened
143,c144,DivingSignals2/Stop,DivingSignals2,Stop
144,c145,DivingSignals2/You,DivingSignals2,You
145,c146,DivingSignals3/Boat,DivingSignals3,Boat
146,c147,DivingSignals3/Fast,DivingSignals3,Fast
147,c148,DivingSignals3/NotUnderstood,DivingSignals3,NotUnderstood
148,c149,DivingSignals3/Slowly,DivingSignals3,Slowly
149,c150,DivingSignals3/SomethingWrong,DivingSignals3,SomethingWrong
150,c151,DivingSignals3/TieUp,DivingSignals3,TieUp
151,c152,DivingSignals3/Vertigo,DivingSignals3,Vertigo
152,c153,DivingSignals3/Wreck,DivingSignals3,Wreck
153,c154,DivingSignals4/HoldHands,DivingSignals4,HoldHands
154,c155,DivingSignals4/HowMuchAir,DivingSignals4,HowMuchAir
155,c156,DivingSignals4/Lead,DivingSignals4,Lead
156,c157,DivingSignals4/LevelOff,DivingSignals4,LevelOff
157,c158,DivingSignals4/MoveApart,DivingSignals4,MoveApart
158,c159,DivingSignals4/StayTogether,DivingSignals4,StayTogether
159,c160,DivingSignals4/WhichWay,DivingSignals4,WhichWay
160,c161,GangHandSignals1/Blood,GangHandSignals1,Blood
161,c162,GangHandSignals1/ComptonCrip,GangHandSignals1,ComptonCrip
162,c163,GangHandSignals1/Crip,GangHandSignals1,Crip
163,c164,GangHandSignals1/EastSide,GangHandSignals1,EastSide
164,c165,GangHandSignals1/HooberCrio,GangHandSignals1,HooberCrio
165,c166,GangHandSignals1/MafiaCrips,GangHandSignals1,MafiaCrips
166,c167,GangHandSignals1/UndergroundCrip,GangHandSignals1,UndergroundCrip
167,c168,GangHandSignals2/Killas,GangHandSignals2,Killas
168,c169,GangHandSignals2/LatinKings,GangHandSignals2,LatinKings
169,c170,GangHandSignals2/OKBloodKilla,GangHandSignals2,OKBloodKilla
170,c171,GangHandSignals2/OKCripKilla,GangHandSignals2,OKCripKilla
171,c172,GangHandSignals2/Piru,GangHandSignals2,Piru
172,c173,GangHandSignals2/WestCoast,GangHandSignals2,WestCoast
173,c174,GangHandSignals2/WestSide,GangHandSignals2,WestSide
174,c175,HelicopterSignals/HoldHover,HelicopterSignals,HoldHover
175,c176,HelicopterSignals/Land,HelicopterSignals,Land
176,c177,HelicopterSignals/LiftOff,HelicopterSignals,LiftOff
177,c178,HelicopterSignals/MoveDownward,HelicopterSignals,MoveDownward
178,c179,HelicopterSignals/MoveForward,HelicopterSignals,MoveForward
179,c180,HelicopterSignals/MoveLeft,HelicopterSignals,MoveLeft
180,c181,HelicopterSignals/MoveRight,HelicopterSignals,MoveRight
181,c182,HelicopterSignals/MoveUpward,HelicopterSignals,MoveUpward
182,c183,HelicopterSignals/ReleaseSlingLoad,HelicopterSignals,ReleaseSlingLoad
183,c184,RefereeVolleyballSignals1/BallOut,RefereeVolleyballSignals1,BallOut
184,c185,RefereeVolleyballSignals1/BallOutAfterPlayerContact,RefereeVolleyballSignals1,BallOutAfterPlayerContact
185,c186,RefereeVolleyballSignals1/DoubleFaultOrPlayover,RefereeVolleyballSignals1,DoubleFaultOrPlayover
186,c187,RefereeVolleyballSignals1/EndOfGame,RefereeVolleyballSignals1,EndOfGame
187,c188,RefereeVolleyballSignals1/IllegalBlockOrScreen,RefereeVolleyballSignals1,IllegalBlockOrScreen
188,c189,RefereeVolleyballSignals1/Timeout,RefereeVolleyballSignals1,Timeout
189,c190,RefereeVolleyballSignals2/BallInBounds,RefereeVolleyballSignals2,BallInBounds
190,c191,RefereeVolleyballSignals2/BallServedIntoNetPlayerTouchingNet,RefereeVolleyballSignals2,BallServedIntoNetPlayerTouchingNet
191,c192,RefereeVolleyballSignals2/BeckoningTheServe,RefereeVolleyballSignals2,BeckoningTheServe
192,c193,RefereeVolleyballSignals2/CenterLineViolation,RefereeVolleyballSignals2,CenterLineViolation
193,c194,RefereeVolleyballSignals2/HeldThrownLiftedCarried,RefereeVolleyballSignals2,HeldThrownLiftedCarried
194,c195,RefereeVolleyballSignals2/IllegalAttackOrBlockOverNet,RefereeVolleyballSignals2,IllegalAttackOrBlockOverNet
195,c196,RefereeVolleyballSignals2/LossOfRallyOrPoint,RefereeVolleyballSignals2,LossOfRallyOrPoint
196,c197,RefereeVolleyballSignals2/OutOfRotationOrOverlap,RefereeVolleyballSignals2,OutOfRotationOrOverlap
197,c198,RefereeWrestlingSignals1/DeferChoice,RefereeWrestlingSignals1,DeferChoice
198,c199,RefereeWrestlingSignals1/FalseStart,RefereeWrestlingSignals1,FalseStart
199,c200,RefereeWrestlingSignals1/FlagrantMisconduct,RefereeWrestlingSignals1,FlagrantMisconduct
200,c201,RefereeWrestlingSignals1/IllegalHold,RefereeWrestlingSignals1,IllegalHold
201,c202,RefereeWrestlingSignals1/InterlockingHands,RefereeWrestlingSignals1,InterlockingHands
202,c203,RefereeWrestlingSignals1/NearFall,RefereeWrestlingSignals1,NearFall
203,c204,RefereeWrestlingSignals1/NoControl,RefereeWrestlingSignals1,NoControl
204,c205,RefereeWrestlingSignals1/out,RefereeWrestlingSignals1,out
205,c206,RefereeWrestlingSignals2/PotentiallyDangerous,RefereeWrestlingSignals2,PotentiallyDangerous
206,c207,RefereeWrestlingSignals2/Reversal,RefereeWrestlingSignals2,Reversal
207,c208,RefereeWrestlingSignals2/Stalemate,RefereeWrestlingSignals2,Stalemate
208,c209,RefereeWrestlingSignals2/Stalling,RefereeWrestlingSignals2,Stalling
209,c210,RefereeWrestlingSignals2/StartInjuryClock,RefereeWrestlingSignals2,StartInjuryClock
210,c211,RefereeWrestlingSignals2/StopInjuryClock,RefereeWrestlingSignals2,StopInjuryClock
211,c212,RefereeWrestlingSignals2/StopMatch,RefereeWrestlingSignals2,StopMatch
212,c214,RefereeWrestlingSignals2/TimeOut,RefereeWrestlingSignals2,TimeOut
213,c215,RefereeWrestlingSignals2/WrestlerInControl,RefereeWrestlingSignals2,WrestlerInControl
214,c213,RefereeWrestlingSignals2/TechnicalViolation,RefereeWrestlingSignals2,TechnicalViolation
215,c216,SurgeonSignals/ArmyNavyRetractor,SurgeonSignals,ArmyNavyRetractor
216,c217,SurgeonSignals/CurvedForceps,SurgeonSignals,CurvedForceps
217,c218,SurgeonSignals/CurvedScissors,SurgeonSignals,CurvedScissors
218,c219,SurgeonSignals/NeedleHolder,SurgeonSignals,NeedleHolder
219,c220,SurgeonSignals/Scalpel,SurgeonSignals,Scalpel
220,c221,SurgeonSignals/StraightForceps,SurgeonSignals,StraightForceps
221,c222,SurgeonSignals/StraightScissors,SurgeonSignals,StraightScissors
222,c223,SurgeonSignals/Syringe,SurgeonSignals,Syringe
223,c224,SurgeonSignals/TissueForceps,SurgeonSignals,TissueForceps
224,c225,SwatHandSignals1/DogNeeded,SwatHandSignals1,DogNeeded
225,c226,SwatHandSignals1/MirrorNeeded,SwatHandSignals1,MirrorNeeded
226,c227,SwatHandSignals1/OKClear,SwatHandSignals1,OKClear
227,c228,SwatHandSignals1/Quickly,SwatHandSignals1,Quickly
228,c229,SwatHandSignals1/Stop,SwatHandSignals1,Stop
229,c230,SwatHandSignals2/CoverNeeded,SwatHandSignals2,CoverNeeded
230,c231,SwatHandSignals2/DoorClosed,SwatHandSignals2,DoorClosed
231,c232,SwatHandSignals2/DoorOpen,SwatHandSignals2,DoorOpen
232,c233,SwatHandSignals2/Listen,SwatHandSignals2,Listen
233,c234,SwatHandSignals2/ManDown,SwatHandSignals2,ManDown
234,c235,SwatHandSignals2/Obstruction,SwatHandSignals2,Obstruction
235,c236,SwatHandSignals2/ToMe,SwatHandSignals2,ToMe
236,c237,TaxiSouthAfrica/TaxiHandSigns10,TaxiSouthAfrica,TaxiHandSigns10
237,c238,TaxiSouthAfrica/TaxiHandSigns2,TaxiSouthAfrica,TaxiHandSigns2
238,c239,TaxiSouthAfrica/TaxiHandSigns3,TaxiSouthAfrica,TaxiHandSigns3
239,c240,TaxiSouthAfrica/TaxiHandSigns6,TaxiSouthAfrica,TaxiHandSigns6
240,c241,TaxiSouthAfrica/TaxiHandSigns9,TaxiSouthAfrica,TaxiHandSigns9
241,c242,TractorOperationSignals/ComeToMe,TractorOperationSignals,ComeToMe
242,c243,TractorOperationSignals/MoveOut,TractorOperationSignals,MoveOut
243,c244,TractorOperationSignals/MoveTowardM,TractorOperationSignals,MoveTowardM
244,c245,TractorOperationSignals/SlowItDown,TractorOperationSignals,SlowItDown
245,c246,TractorOperationSignals/SpeedItUp,TractorOperationSignals,SpeedItUp
246,c247,TractorOperationSignals/StartTheEngine,TractorOperationSignals,StartTheEngine
247,c248,TractorOperationSignals/StopTheEngine,TractorOperationSignals,StopTheEngine
248,c249,TractorOperationSignals/ThisFarToGo,TractorOperationSignals,ThisFarToGo
